Strategy,total_value,total_invested,profit,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,rebalance_count,num_weeks,start_date,end_date,years
Buy & Hold TQQQ (3x),243555665.36,4250000.0,239305665.36,5630.72,28.25,81.95,57.23,0.654,0.975,0.345,0,850,2010-02-12,2026-05-22,16.3
SMA Trend Regime,188069655.45,4250000.0,183819655.45,4325.17,26.23,53.53,41.6,0.674,0.984,0.49,126,850,2010-02-12,2026-05-22,16.3
Bollinger Mean Reversion,139511946.63,4250000.0,135261946.63,3182.63,23.93,66.23,36.52,0.66,0.986,0.361,339,850,2010-02-12,2026-05-22,16.3
Composite Multi-Signal,131083912.71,4250000.0,126833912.71,2984.33,23.46,62.63,38.27,0.639,0.925,0.375,253,850,2010-02-12,2026-05-22,16.3
Tactical Cash & Buy-the-Dip,125595387.56,4250000.0,121345387.56,2855.19,23.13,75.38,45.2,0.598,0.906,0.307,153,850,2010-02-12,2026-05-22,16.3
RSI Momentum,98856914.05,4250000.0,94606914.05,2226.05,21.34,58.13,32.88,0.631,0.93,0.367,330,850,2010-02-12,2026-05-22,16.3
Equal Weight (33/33/33),97954845.25,4250000.0,93704845.25,2204.82,21.27,65.03,38.11,0.592,0.873,0.327,0,850,2010-02-12,2026-05-22,16.3
Buy & Hold QLD (2x),97509967.34,4250000.0,93259967.34,2194.35,21.23,64.89,38.1,0.591,0.871,0.327,0,850,2010-02-12,2026-05-22,16.3
VIX Volatility Regime,90027379.79,4250000.0,85777379.79,2018.29,20.64,61.59,35.29,0.595,0.862,0.335,187,850,2010-02-12,2026-05-22,16.3
MACD Trend Strength,66222424.61,4250000.0,61972424.61,1458.17,18.39,65.07,36.04,0.538,0.777,0.283,346,850,2010-02-12,2026-05-22,16.3
Drawdown Dynamic,37675608.85,4250000.0,33425608.85,786.48,14.35,49.73,29.08,0.47,0.661,0.289,225,850,2010-02-12,2026-05-22,16.3
Buy & Hold QQQ (1x),26765524.78,4250000.0,22515524.78,529.78,11.97,38.36,19.02,0.478,0.693,0.312,0,850,2010-02-12,2026-05-22,16.3
