Strategy,total_value,total_invested,profit,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,rebalance_count,num_weeks,start_date,end_date,years
SMA Trend Regime,2217973939.28,100000.0,2217873939.28,2217873.94,27.92,95.78,49.28,0.673,0.988,0.292,341,2122,1985-10-04,2026-05-26,40.6
Composite Multi-Signal,1280562720.04,100000.0,1280462720.04,1280462.72,26.2,97.39,45.92,0.653,0.951,0.269,698,2122,1985-10-04,2026-05-26,40.6
VIX Volatility Regime,341924001.42,100000.0,341824001.42,341824.0,22.17,97.84,43.43,0.59,0.851,0.227,370,2122,1985-10-04,2026-05-26,40.6
Bollinger Mean Reversion,334511861.46,100000.0,334411861.46,334411.86,22.1,97.55,45.14,0.585,0.845,0.227,863,2122,1985-10-04,2026-05-26,40.6
Equal Weight (33/33/33),307482452.7,100000.0,307382452.7,307382.45,21.85,98.56,46.97,0.574,0.839,0.222,0,2122,1985-10-04,2026-05-26,40.6
Buy & Hold QLD (2x),307458004.1,100000.0,307358004.1,307358.0,21.85,98.59,47.05,0.574,0.836,0.222,0,2122,1985-10-04,2026-05-26,40.6
Buy & Hold TQQQ (3x),257139693.61,100000.0,257039693.61,257039.69,21.31,99.97,70.6,0.581,0.857,0.213,0,2122,1985-10-04,2026-05-26,40.6
RSI Momentum,248711629.25,100000.0,248611629.25,248611.63,21.21,96.19,40.74,0.582,0.837,0.221,783,2122,1985-10-04,2026-05-26,40.6
MACD Trend Strength,243439302.07,100000.0,243339302.07,243339.3,21.15,97.9,45.16,0.565,0.817,0.216,845,2122,1985-10-04,2026-05-26,40.6
Drawdown Dynamic,188013687.1,100000.0,187913687.1,187913.69,20.38,88.91,33.7,0.602,0.874,0.229,358,2122,1985-10-04,2026-05-26,40.6
Enhanced Quant SMA,127233124.8,100000.0,127133124.8,127133.12,19.23,76.48,33.32,0.577,0.828,0.251,556,2122,1985-10-04,2026-05-26,40.6
Tactical Cash & Buy-the-Dip,47026277.1,100000.0,46926277.1,46926.28,16.35,99.92,61.9,0.499,0.727,0.164,115,2122,1985-10-04,2026-05-26,40.6
Buy & Hold QQQ (1x),30563905.51,100000.0,30463905.51,30463.91,15.12,82.69,23.38,0.548,0.786,0.183,0,2122,1985-10-04,2026-05-26,40.6
