Strategy,total_value,total_invested,profit,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,rebalance_count,num_weeks,start_date,end_date,years
Composer SMA: 100% QLD / CASH,75837211.19,100000.0,75737211.19,75737.21,22.74,93.22,48.55,0.579,0.915,0.244,111,1690,1994-05-06,2026-09-18,32.4
Composer SMA: Tech/AI-Tilted Hybrid,57949031.17,100000.0,57849031.17,57849.03,21.72,92.93,48.26,0.562,0.886,0.234,111,1690,1994-05-06,2026-09-18,32.4
Drawdown Dynamic,43923347.27,100000.0,43823347.27,43823.35,20.68,90.16,46.46,0.547,0.843,0.229,199,1690,1994-05-06,2026-09-18,32.4
Enhanced Quant SMA,43622314.51,100000.0,43522314.51,43522.31,20.66,94.63,48.26,0.547,0.83,0.218,423,1690,1994-05-06,2026-09-18,32.4
4-Tier Graduated Leverage (1% Buffer),39894747.29,100000.0,39794747.29,39794.75,20.32,98.87,68.03,0.553,0.868,0.206,268,1690,1994-05-06,2026-09-18,32.4
SMA Trend Regime,37037401.05,100000.0,36937401.05,36937.4,20.05,99.73,71.4,0.557,0.863,0.201,264,1690,1994-05-06,2026-09-18,32.4
4-Tier Graduated Leverage,35063455.62,100000.0,34963455.62,34963.46,19.84,99.25,67.78,0.547,0.854,0.2,342,1690,1994-05-06,2026-09-18,32.4
Composer SMA: 100% TQQQ / CASH,26023182.77,100000.0,25923182.77,25923.18,18.75,99.37,73.23,0.541,0.86,0.189,111,1690,1994-05-06,2026-09-18,32.4
Composite Multi-Signal,24453317.17,100000.0,24353317.17,24353.32,18.52,99.57,68.22,0.53,0.807,0.186,566,1690,1994-05-06,2026-09-18,32.4
RSI Momentum,17460523.34,100000.0,17360523.34,17360.52,17.29,99.32,61.25,0.502,0.757,0.174,611,1690,1994-05-06,2026-09-18,32.4
VIX Volatility Regime,15783237.91,100000.0,15683237.91,15683.24,16.93,98.99,65.0,0.504,0.757,0.171,343,1690,1994-05-06,2026-09-18,32.4
Buy & Hold QLD (2x),14231763.54,100000.0,14131763.54,14131.76,16.55,99.65,70.62,0.513,0.782,0.166,0,1690,1994-05-06,2026-09-18,32.4
Buy & Hold QQQ (1x),13152796.83,100000.0,13052796.83,13052.8,16.27,84.94,34.91,0.491,0.726,0.192,0,1690,1994-05-06,2026-09-18,32.4
Composer SMA: 100% QQQ / CASH,10774218.8,100000.0,10674218.8,10674.22,15.55,66.8,24.01,0.554,0.847,0.233,111,1690,1994-05-06,2026-09-18,32.4
Bollinger Mean Reversion,10500910.42,100000.0,10400910.42,10400.91,15.46,99.74,67.78,0.495,0.743,0.155,728,1690,1994-05-06,2026-09-18,32.4
Equal Weight (33/33/33),9659021.34,100000.0,9559021.34,9559.02,15.17,99.69,70.01,0.494,0.751,0.152,0,1690,1994-05-06,2026-09-18,32.4
MACD Trend Strength,3338923.27,100000.0,3238923.27,3238.92,11.45,99.84,67.55,0.442,0.654,0.115,674,1690,1994-05-06,2026-09-18,32.4
Tactical Cash & Buy-the-Dip,151261.67,100000.0,51261.67,51.26,1.29,99.99,95.27,0.449,0.684,0.013,36,1690,1994-05-06,2026-09-18,32.4
Buy & Hold TQQQ (3x),55087.0,100000.0,-44913.0,-44.91,-1.83,100.0,105.62,0.477,0.731,-0.018,0,1690,1994-05-06,2026-09-18,32.4
