Strategy,total_value,total_invested,profit,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,rebalance_count,num_weeks,start_date,end_date,years
Composer SMA: 100% TQQQ / CASH,61102185421.51,10610000.0,61091575421.51,575792.42,23.74,91.55,50.49,0.682,1.014,0.259,123,2122,1985-10-04,2026-05-26,40.6
SMA Trend Regime,25991543371.28,10610000.0,25980933371.28,244872.13,21.17,97.34,49.28,0.673,0.988,0.217,341,2122,1985-10-04,2026-05-26,40.6
Composite Multi-Signal,11147611281.66,10610000.0,11137001281.66,104967.02,18.67,97.84,45.92,0.653,0.951,0.191,698,2122,1985-10-04,2026-05-26,40.6
Composer SMA: Tech/AI-Tilted Hybrid,9541731136.72,10610000.0,9531121136.72,89831.49,18.22,78.01,33.7,0.667,0.983,0.234,123,2122,1985-10-04,2026-05-26,40.6
Composer SMA: 100% QLD / CASH,9330409585.71,10610000.0,9319799585.71,87839.77,18.15,78.25,33.75,0.665,0.977,0.232,123,2122,1985-10-04,2026-05-26,40.6
Bollinger Mean Reversion,4366509871.82,10610000.0,4355899871.82,41054.66,15.97,98.34,45.14,0.585,0.845,0.162,863,2122,1985-10-04,2026-05-26,40.6
RSI Momentum,3355509911.69,10610000.0,3344899911.69,31525.92,15.22,97.48,40.74,0.582,0.837,0.156,783,2122,1985-10-04,2026-05-26,40.6
VIX Volatility Regime,3236644778.82,10610000.0,3226034778.82,30405.61,15.11,98.13,43.43,0.59,0.851,0.154,370,2122,1985-10-04,2026-05-26,40.6
Buy & Hold QLD (2x),2993739013.71,10610000.0,2983129013.71,28116.2,14.89,99.05,47.05,0.574,0.836,0.15,0,2122,1985-10-04,2026-05-26,40.6
Equal Weight (33/33/33),2988246252.83,10610000.0,2977636252.83,28064.43,14.89,99.02,46.97,0.574,0.839,0.15,0,2122,1985-10-04,2026-05-26,40.6
Enhanced Quant SMA,2872147589.23,10610000.0,2861537589.23,26970.19,14.78,79.43,33.32,0.577,0.828,0.186,556,2122,1985-10-04,2026-05-26,40.6
Buy & Hold TQQQ (3x),2689786956.38,10610000.0,2679176956.38,25251.43,14.59,99.97,70.6,0.581,0.857,0.146,0,2122,1985-10-04,2026-05-26,40.6
MACD Trend Strength,2239269965.76,10610000.0,2228659965.76,21005.28,14.08,98.6,45.16,0.565,0.817,0.143,845,2122,1985-10-04,2026-05-26,40.6
Tactical Cash & Buy-the-Dip,1587417561.62,10610000.0,1576807561.62,14861.52,13.11,99.92,61.89,0.502,0.733,0.131,123,2122,1985-10-04,2026-05-26,40.6
Drawdown Dynamic,1350083162.18,10610000.0,1339473162.18,12624.63,12.66,89.41,31.85,0.588,0.86,0.142,260,2122,1985-10-04,2026-05-26,40.6
Composer SMA: 100% QQQ / CASH,541648877.12,10610000.0,531038877.12,5005.08,10.16,51.03,16.9,0.625,0.902,0.199,123,2122,1985-10-04,2026-05-26,40.6
Buy & Hold QQQ (1x),509469288.63,10610000.0,498859288.63,4701.78,9.99,84.8,23.38,0.548,0.786,0.118,0,2122,1985-10-04,2026-05-26,40.6
