Strategy,total_value,total_invested,profit,total_return_pct,cagr_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,rebalance_count,num_weeks,start_date,end_date,years
Enhanced Quant SMA,1393777413.13,8370000.0,1385407413.13,16552.06,17.3,95.45,47.8,0.489,0.737,0.181,420,1674,1994-05-06,2026-05-26,32.1
RSI Momentum,1292100002.32,8370000.0,1283730002.32,15337.28,17.02,98.67,60.91,0.497,0.751,0.173,604,1674,1994-05-06,2026-05-26,32.1
Composite Multi-Signal,1113853750.62,8370000.0,1105483750.62,13207.69,16.48,99.49,67.66,0.504,0.763,0.166,562,1674,1994-05-06,2026-05-26,32.1
Bollinger Mean Reversion,1046246662.11,8370000.0,1037876662.11,12399.96,16.26,99.33,67.52,0.504,0.759,0.164,723,1674,1994-05-06,2026-05-26,32.1
Buy & Hold QLD (2x),1036885798.37,8370000.0,1028515798.37,12288.12,16.22,99.37,70.38,0.509,0.774,0.163,0,1674,1994-05-06,2026-05-26,32.1
SMA Trend Regime,1021143685.77,8370000.0,1012773685.77,12100.04,16.17,99.75,70.64,0.51,0.784,0.162,262,1674,1994-05-06,2026-05-26,32.1
Buy & Hold TQQQ (3x),918467893.57,8370000.0,910097893.57,10873.33,15.78,99.94,105.33,0.627,0.986,0.158,0,1674,1994-05-06,2026-05-26,32.1
VIX Volatility Regime,887155247.07,8370000.0,878785247.07,10499.23,15.66,98.54,64.61,0.487,0.728,0.159,338,1674,1994-05-06,2026-05-26,32.1
Equal Weight (33/33/33),860441403.21,8370000.0,852071403.21,10180.06,15.55,99.44,69.73,0.498,0.757,0.156,0,1674,1994-05-06,2026-05-26,32.1
MACD Trend Strength,797675262.27,8370000.0,789305262.27,9430.17,15.28,99.41,67.26,0.491,0.731,0.154,667,1674,1994-05-06,2026-05-26,32.1
Tactical Cash & Buy-the-Dip,630491559.97,8370000.0,622121559.97,7432.75,14.43,99.81,93.75,0.568,0.884,0.145,68,1674,1994-05-06,2026-05-26,32.1
Drawdown Dynamic,612699817.85,8370000.0,604329817.85,7220.19,14.33,94.17,43.83,0.43,0.659,0.152,115,1674,1994-05-06,2026-05-26,32.1
Buy & Hold QQQ (1x),276913901.25,8370000.0,268543901.25,3208.41,11.53,89.25,34.74,0.373,0.543,0.129,0,1674,1994-05-06,2026-05-26,32.1
